AFFGEOID,GEOID,geoid_ude,2014_unem,2018_unemp,18-14_unem
1400000US06059110500,"06059110500","6059110500",8.86,6.03,-2.830
1400000US06059110605,"06059110605","6059110605",3.70,5.58,1.880
1400000US06059086407,"06059086407","6059086407",7.57,8.10,0.530
1400000US06059099203,"06059099203","6059099203",4.93,5.38,0.450
1400000US06059099215,"06059099215","6059099215",6.52,3.96,-2.560
1400000US06059099220,"06059099220","6059099220",1.69,2.19,0.500
1400000US06059099225,"06059099225","6059099225",6.68,2.61,-4.070
1400000US06059099229,"06059099229","6059099229",11.62,2.07,-9.550
1400000US06059099234,"06059099234","6059099234",8.06,6.83,-1.230
1400000US06059099237,"06059099237","6059099237",5.07,3.19,-1.880
1400000US06059099244,"06059099244","6059099244",5.77,0.58,-5.190
1400000US06059099247,"06059099247","6059099247",11.25,4.30,-6.950
1400000US06059099250,"06059099250","6059099250",7.93,5.46,-2.470
1400000US06059099307,"06059099307","6059099307",5.83,3.94,-1.890
1400000US06059099308,"06059099308","6059099308",2.17,0.81,-1.360
1400000US06059099402,"06059099402","6059099402",14.40,1.90,-12.500
1400000US06059099408,"06059099408","6059099408",10.44,5.74,-4.700
1400000US06059075303,"06059075303","6059075303",7.02,5.36,-1.660
1400000US06059075403,"06059075403","6059075403",8.36,3.60,-4.760
1400000US06059075504,"06059075504","6059075504",9.95,4.05,-5.900
1400000US06059075512,"06059075512","6059075512",6.17,5.62,-0.550
1400000US06059075515,"06059075515","6059075515",9.78,4.16,-5.620
1400000US06059099411,"06059099411","6059099411",10.21,7.27,-2.940
1400000US06059099415,"06059099415","6059099415",6.04,3.95,-2.090
1400000US06059099417,"06059099417","6059099417",12.57,3.29,-9.280
1400000US06059099506,"06059099506","6059099506",14.37,6.64,-7.730
1400000US06059099511,"06059099511","6059099511",6.37,1.38,-4.990
1400000US06059099512,"06059099512","6059099512",7.24,2.05,-5.190
1400000US06059099514,"06059099514","6059099514",5.93,1.28,-4.650
1400000US06059099702,"06059099702","6059099702",10.44,8.01,-2.430
1400000US06059099703,"06059099703","6059099703",11.00,4.67,-6.330
1400000US06059099905,"06059099905","6059099905",12.77,1.59,-11.180
1400000US06059110004,"06059110004","6059110004",4.03,4.67,0.640
1400000US06059110005,"06059110005","6059110005",6.66,6.13,-0.530
1400000US06059110011,"06059110011","6059110011",6.15,2.79,-3.360
1400000US06059110014,"06059110014","6059110014",8.62,4.28,-4.340
1400000US06059075604,"06059075604","6059075604",6.50,7.02,0.520
1400000US06059075607,"06059075607","6059075607",6.20,4.01,-2.190
1400000US06059075806,"06059075806","6059075806",12.94,2.87,-10.070
1400000US06059075808,"06059075808","6059075808",10.18,3.90,-6.280
1400000US06059075810,"06059075810","6059075810",9.00,2.70,-6.300
1400000US06059075813,"06059075813","6059075813",9.40,5.75,-3.650
1400000US06059075816,"06059075816","6059075816",7.18,3.34,-3.840
1400000US06059075902,"06059075902","6059075902",8.92,5.44,-3.480
1400000US06059076201,"06059076201","6059076201",3.60,3.62,0.020
1400000US06059076204,"06059076204","6059076204",8.84,6.40,-2.440
1400000US06059076208,"06059076208","6059076208",12.15,6.07,-6.080
1400000US06059086303,"06059086303","6059086303",7.19,0.95,-6.240
1400000US06059110110,"06059110110","6059110110",5.37,4.14,-1.230
1400000US06059110113,"06059110113","6059110113",6.30,4.61,-1.690
1400000US06059110118,"06059110118","6059110118",3.82,2.46,-1.360
1400000US06059110203,"06059110203","6059110203",8.08,5.93,-2.150
1400000US06059086306,"06059086306","6059086306",10.34,0.83,-9.510
1400000US06059086406,"06059086406","6059086406",10.01,4.93,-5.080
1400000US06059086702,"06059086702","6059086702",11.95,6.58,-5.370
1400000US06059086801,"06059086801","6059086801",7.66,4.25,-3.410
1400000US06059086902,"06059086902","6059086902",12.85,3.32,-9.530
1400000US06059086903,"06059086903","6059086903",11.57,5.24,-6.330
1400000US06059087103,"06059087103","6059087103",7.85,4.67,-3.180
1400000US06059087300,"06059087300","6059087300",11.27,6.21,-5.060
1400000US06059087503,"06059087503","6059087503",8.43,5.11,-3.320
1400000US06059087701,"06059087701","6059087701",7.87,4.24,-3.630
1400000US06059087801,"06059087801","6059087801",12.03,7.38,-4.650
1400000US06059087803,"06059087803","6059087803",14.08,7.64,-6.440
1400000US06059087902,"06059087902","6059087902",13.82,5.61,-8.210
1400000US06059088105,"06059088105","6059088105",11.39,5.86,-5.530
1400000US06059021924,"06059021924","6059021924",4.68,6.53,1.850
1400000US06059062604,"06059062604","6059062604",5.59,5.06,-0.530
1400000US06059062628,"06059062628","6059062628",11.56,3.58,-7.980
1400000US06059062630,"06059062630","6059062630",7.72,1.23,-6.490
1400000US06059062632,"06059062632","6059062632",2.14,6.94,4.800
1400000US06059062637,"06059062637","6059062637",6.13,4.19,-1.940
1400000US06059062639,"06059062639","6059062639",7.52,7.19,-0.330
1400000US06059062640,"06059062640","6059062640",7.04,4.74,-2.300
1400000US06059063301,"06059063301","6059063301",10.26,5.67,-4.590
1400000US06059063400,"06059063400","6059063400",6.62,2.54,-4.080
1400000US06059063601,"06059063601","6059063601",9.95,2.47,-7.480
1400000US06059063603,"06059063603","6059063603",8.45,0.74,-7.710
1400000US06059063802,"06059063802","6059063802",7.10,6.36,-0.740
1400000US06059063807,"06059063807","6059063807",7.08,3.58,-3.500
1400000US06059063903,"06059063903","6059063903",7.50,5.46,-2.040
1400000US06059063905,"06059063905","6059063905",5.90,3.54,-2.360
1400000US06059074004,"06059074004","6059074004",13.10,7.38,-5.720
1400000US06059074006,"06059074006","6059074006",8.48,3.34,-5.140
1400000US06059074102,"06059074102","6059074102",9.55,3.54,-6.010
1400000US06059074108,"06059074108","6059074108",9.60,4.26,-5.340
1400000US06059074406,"06059074406","6059074406",4.90,3.50,-1.400
1400000US06059074502,"06059074502","6059074502",12.23,4.36,-7.870
1400000US06059074802,"06059074802","6059074802",11.37,2.98,-8.390
1400000US06059074805,"06059074805","6059074805",9.16,5.76,-3.400
1400000US06059074901,"06059074901","6059074901",7.54,8.19,0.650
1400000US06059075100,"06059075100","6059075100",10.88,7.23,-3.650
1400000US06059075301,"06059075301","6059075301",10.97,6.60,-4.370
1400000US06059021916,"06059021916","6059021916",5.48,12.02,6.540
1400000US06059021921,"06059021921","6059021921",9.33,4.73,-4.600
1400000US06059021922,"06059021922","6059021922",9.76,2.66,-7.100
1400000US06059032013,"06059032013","6059032013",4.42,5.35,0.930
1400000US06059032022,"06059032022","6059032022",12.52,4.35,-8.170
1400000US06059032023,"06059032023","6059032023",5.03,1.90,-3.130
1400000US06059032030,"06059032030","6059032030",10.15,4.95,-5.200
1400000US06059032031,"06059032031","6059032031",7.23,1.33,-5.900
1400000US06059032035,"06059032035","6059032035",6.28,4.54,-1.740
1400000US06059032036,"06059032036","6059032036",12.54,4.67,-7.870
1400000US06059032038,"06059032038","6059032038",3.91,5.47,1.560
1400000US06059032042,"06059032042","6059032042",4.30,2.11,-2.190
1400000US06059032045,"06059032045","6059032045",3.46,5.22,1.760
1400000US06059032048,"06059032048","6059032048",7.24,1.65,-5.590
1400000US06059032050,"06059032050","6059032050",5.37,3.62,-1.750
1400000US06059032053,"06059032053","6059032053",6.95,3.44,-3.510
1400000US06059032056,"06059032056","6059032056",5.06,2.34,-2.720
1400000US06059032058,"06059032058","6059032058",6.87,4.93,-1.940
1400000US06059042103,"06059042103","6059042103",5.88,5.32,-0.560
1400000US06059042107,"06059042107","6059042107",9.29,6.24,-3.050
1400000US06059042111,"06059042111","6059042111",6.85,5.00,-1.850
1400000US06059042113,"06059042113","6059042113",7.04,3.13,-3.910
1400000US06059042201,"06059042201","6059042201",15.05,3.63,-11.420
1400000US06059042206,"06059042206","6059042206",11.05,5.27,-5.780
1400000US06059042311,"06059042311","6059042311",9.38,7.75,-1.630
1400000US06059042312,"06059042312","6059042312",11.08,2.61,-8.470
1400000US06059042315,"06059042315","6059042315",10.59,8.66,-1.930
1400000US06059042320,"06059042320","6059042320",5.65,5.74,0.090
1400000US06059042329,"06059042329","6059042329",8.75,3.11,-5.640
1400000US06059042334,"06059042334","6059042334",12.20,3.98,-8.220
1400000US06059042336,"06059042336","6059042336",8.24,5.15,-3.090
1400000US06059052415,"06059052415","6059052415",9.72,7.28,-2.440
1400000US06059052417,"06059052417","6059052417",4.51,2.56,-1.950
1400000US06059052419,"06059052419","6059052419",5.06,6.61,1.550
1400000US06059052422,"06059052422","6059052422",5.28,3.35,-1.930
1400000US06059052427,"06059052427","6059052427",5.15,3.45,-1.700
1400000US06059001402,"06059001402","6059001402",13.97,8.44,-5.530
1400000US06059001403,"06059001403","6059001403",7.48,3.11,-4.370
1400000US06059001501,"06059001501","6059001501",11.02,5.89,-5.130
1400000US06059001506,"06059001506","6059001506",7.98,8.87,0.890
